localtime,localtime_epoch,temperature,feelslike,weather_descriptions
2021-04-27 10:11,1619518260,13,13,0,['Partly cloudy']
2021-04-27 11:23,1619522580,15,15,7,['Overcast']
2021-04-27 11:23,1619522580,15,15,7,['Overcast']
2021-04-27 11:37,1619523420,15,15,7,['Overcast']
2021-04-27 11:37,1619523420,15,15,7,['Overcast']
2021-04-27 11:37,1619523420,15,15,7,['Overcast']
2021-04-27 11:42,1619523720,15,15,7,['Overcast']
2021-04-27 11:42,1619523720,15,15,7,['Overcast']
2021-04-27 11:42,1619523720,15,15,7,['Overcast']
2021-04-27 11:46,1619523960,16,16,6,['Partly cloudy']
2021-04-27 11:42,1619523720,15,15,7,['Overcast']
2021-04-27 11:49,1619524140,16,16,6,['Partly cloudy']
2021-04-27 11:49,1619524140,16,16,6,['Partly cloudy']
2021-04-27 11:49,1619524140,16,16,6,['Partly cloudy']
